0,7
3,28
5,30
6,24
11,35
11,39
14,44
16,28
19,86
22,3
23,9
24,10
26,19
27,3
28,8
29,2
30,20
34,7
42,10
46,12
47,19
48,8
53,3
56,24
59,27
61,12
64,7
65,4
66,34
66,44
67,4
70,152
73,26
75,8
78,9
79,39
81,8
83,3
84,4
96,25
97,38
98,15
99,11
103,12
104,8
105,31
106,43
107,6
109,4
110,16
116,73
119,16
120,11
122,2
123,4
128,30
131,3
133,4
136,15
138,2
139,16
144,5
149,30
152,4
153,7
157,34
161,9
170,14
177,28
177,39
178,18
179,12
179,16
180,2
181,12
186,51
189,16
192,14
195,5
197,13
198,19
207,23
209,24
212,8
213,18
215,5
217,8
218,16
221,14
224,3
227,43
229,17
229,20
235,10
236,9
238,7
239,17
243,3
245,5
246,23
249,13
250,33
255,2
256,8
264,9
266,19
267,8
271,13
274,4
276,18
277,9
283,26
287,13
289,3
291,2
293,8
294,19
297,5
298,8
300,36
301,23
307,48
309,25
310,25
312,26
313,37
315,8
317,6
319,2
